Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
16.02.2024,"12,7873","12,8322","13,0316","12,7458",,"-0,30%"
15.02.2024,"12,8255","12,7493","12,9033","12,4409",,"0,68%"
14.02.2024,"12,7386","12,6932","12,8124","12,6353",,"0,16%"
13.02.2024,"12,7178","12,6744","12,7657","12,3266",,"0,30%"
12.02.2024,"12,6796","12,6495","12,7144","12,6007",,"0,25%"
09.02.2024,"12,6483","12,6732","12,8302","12,3611",,"-0,15%"
08.02.2024,"12,6678","12,7392","12,7889","12,612",,"-0,48%"
07.02.2024,"12,7292","12,5882","12,8002","12,5633",,"1,14%"
06.02.2024,"12,5859","12,585","12,7486","12,4067",,"0,06%"
05.02.2024,"12,5779","12,6463","12,7179","12,5199",,"-0,57%"
02.02.2024,"12,6506","12,6006","12,7336","12,5234",,"0,47%"
01.02.2024,"12,5918","12,5299","12,6729","12,4792",,"0,35%"
31.01.2024,"12,5479","12,4891","12,5785","12,3807",,"0,54%"
30.01.2024,"12,4802","12,4389","12,5537","12,3127",,"0,40%"
29.01.2024,"12,4306","12,5014","12,5997","12,2051",,"-0,57%"
26.01.2024,"12,502","12,4076","12,5727","12,3637",,"0,70%"
25.01.2024,"12,4148","12,4078","12,4834","12,3294",,"0,08%"
24.01.2024,"12,405","12,368","12,4353","12,2675",,"0,15%"
23.01.2024,"12,3866","12,2368","12,4146","12,1932",,"1,26%"
22.01.2024,"12,2323","12,2591","12,3113","12,135",,"-0,20%"
19.01.2024,"12,2565","12,4318","12,461","12,1175",,"-1,36%"
18.01.2024,"12,4256","12,3247","12,5518","12,2331",,"0,90%"
17.01.2024,"12,3144","12,2479","12,4191","12,1211",,"0,53%"
16.01.2024,"12,2491","12,2198","12,3537","12,0578",,"0,15%"
15.01.2024,"12,231","12,2987","12,3598","12,1447",,"-0,31%"
12.01.2024,"12,2689","12,3493","12,4314","12,2491",,"-0,60%"
11.01.2024,"12,3426","12,459","12,5092","12,2838",,"-0,96%"
10.01.2024,"12,4621","12,5","12,5679","12,4012",,"-0,33%"
09.01.2024,"12,5029","12,7016","12,8111","12,441",,"-1,58%"
08.01.2024,"12,7041","12,7157","12,7687","12,5278",,"-0,20%"
05.01.2024,"12,729","12,741","12,8673","12,6531",,"-0,23%"
04.01.2024,"12,7578","12,8582","12,9445","12,7078",,"-0,83%"
03.01.2024,"12,8643","12,6538","12,9913","12,584",,"1,66%"
02.01.2024,"12,654","12,5551","12,7963","12,518",,"-0,57%"
01.01.2024,"12,727","12,727","12,727","12,727",,"1,28%"
29.12.2023,"12,5664","12,4459","12,8521","12,4459",,"0,96%"
28.12.2023,"12,4475","12,8485","12,9399","12,3959",,"-2,98%"
27.12.2023,"12,8295","12,8243","12,9845","12,7151",,"0,02%"
26.12.2023,"12,8267","12,8909","12,8909","12,796",,"-0,48%"
25.12.2023,"12,8885","12,9136","12,9613","12,5455",,"-0,18%"
22.12.2023,"12,9111","13,0021","13,0751","12,6743",,"-0,74%"
21.12.2023,"13,0069","12,6938","13,0478","12,5974",,"2,43%"
20.12.2023,"12,6987","12,6978","12,8492","12,5293",,"0,09%"
19.12.2023,"12,6875","12,6853","12,7444","12,5421",,"0,00%"
18.12.2023,"12,6877","12,7222","12,8368","12,57",,"-0,36%"
15.12.2023,"12,7333","12,5736","12,972","12,2716",,"1,15%"
14.12.2023,"12,5881","12,5247","12,7475","12,3829",,"1,07%"
13.12.2023,"12,4549","12,5826","12,6176","12,3413",,"-0,94%"
12.12.2023,"12,5737","12,6826","12,7337","12,4808",,"-0,32%"
11.12.2023,"12,6145","12,8409","12,8413","12,5002",,"-1,88%"
